# step L_total L_int L_bdry L_orth L_gradation
261 1.00073233e+01 9.90022469e+00 9.85783264e-02 8.52013845e-03 0.00000000e+00
262 1.05199633e+01 1.04192829e+01 9.16211903e-02 9.05913115e-03 0.00000000e+00
263 1.04141388e+01 1.03111763e+01 9.18768421e-02 1.10853370e-02 0.00000000e+00
264 9.75254345e+00 9.64175034e+00 9.55437422e-02 1.52493557e-02 0.00000000e+00
265 1.03872204e+01 1.02694445e+01 9.50952470e-02 2.26803869e-02 0.00000000e+00
266 1.05285654e+01 1.03875952e+01 1.10887274e-01 3.00822873e-02 0.00000000e+00
267 9.40395832e+00 9.26643562e+00 1.04963474e-01 3.25596333e-02 0.00000000e+00
268 1.05631132e+01 1.04155779e+01 1.09259449e-01 3.82753648e-02 0.00000000e+00
269 1.04946575e+01 1.03485146e+01 1.04281239e-01 4.18618247e-02 0.00000000e+00
270 1.05427227e+01 1.04030590e+01 1.02127716e-01 3.75358053e-02 0.00000000e+00
271 9.69589901e+00 9.57096291e+00 9.28488225e-02 3.20870914e-02 0.00000000e+00
272 1.04566488e+01 1.03371229e+01 8.88638496e-02 3.06616612e-02 0.00000000e+00
273 9.47061729e+00 9.35713482e+00 8.59844089e-02 2.74984371e-02 0.00000000e+00
274 9.00545979e+00 8.90432167e+00 8.24041516e-02 1.87340900e-02 0.00000000e+00
275 1.05230694e+01 1.04183531e+01 8.69767368e-02 1.77395120e-02 0.00000000e+00
276 1.05441113e+01 1.04370451e+01 9.05191302e-02 1.65468752e-02 0.00000000e+00
277 8.71616268e+00 8.61338043e+00 8.75581205e-02 1.52244512e-02 0.00000000e+00
278 1.08988047e+01 1.07951546e+01 9.08070877e-02 1.28433499e-02 0.00000000e+00
279 1.02440996e+01 1.01380711e+01 9.43843350e-02 1.16447061e-02 0.00000000e+00
280 1.07826958e+01 1.06833296e+01 8.91542286e-02 1.02118477e-02 0.00000000e+00
281 9.82183361e+00 9.72531891e+00 8.69880468e-02 9.52586439e-03 0.00000000e+00
282 1.02765999e+01 1.01924191e+01 7.52237514e-02 8.95724539e-03 0.00000000e+00
283 1.01868200e+01 1.01030464e+01 7.45629966e-02 9.21083055e-03 0.00000000e+00
