# step L_int L_bdry L_orth
381 9.71083492e-02 1.86651561e-03 3.64795066e-02
382 9.72678363e-02 1.90807437e-03 3.55140045e-02
383 9.82002094e-02 1.76954584e-03 3.56474854e-02
384 9.71256346e-02 1.61332346e-03 3.60463485e-02
385 9.65171605e-02 1.56519539e-03 3.67668122e-02
386 9.64042172e-02 1.66377320e-03 3.68631370e-02
387 9.64889377e-02 1.80292269e-03 3.69461365e-02
388 9.68394652e-02 1.89349067e-03 3.59923281e-02
389 9.63599309e-02 1.87900313e-03 3.54466960e-02
390 9.72632840e-02 1.66737009e-03 3.70476134e-02
391 9.57709029e-02 1.75632536e-03 3.68663222e-02
392 9.57988054e-02 1.78533932e-03 3.61208618e-02
393 9.56855565e-02 1.94467814e-03 3.63290347e-02
394 9.58017781e-02 1.72050938e-03 3.70542295e-02
395 9.65936854e-02 1.80538918e-03 3.69854420e-02
396 9.48145911e-02 1.84099376e-03 3.64604779e-02
397 9.48960111e-02 1.77005702e-03 3.71704549e-02
398 9.45437029e-02 1.86625775e-03 3.71228196e-02
399 9.50182378e-02 1.86514738e-03 3.62177305e-02
400 9.41625163e-02 1.73380121e-03 3.68967429e-02
401 9.43467468e-02 1.85285439e-03 3.71716470e-02
402 9.61686894e-02 1.75553397e-03 3.70147750e-02
403 9.42841470e-02 1.60878571e-03 3.83419059e-02
404 9.48144495e-02 1.73551193e-03 3.75931710e-02
405 9.44727808e-02 1.69408449e-03 3.66828702e-02
406 9.50651392e-02 1.83206052e-03 3.71219330e-02
407 9.37449038e-02 1.52086047e-03 3.71482596e-02
408 9.38300937e-02 1.74738932e-03 3.73907983e-02
409 9.52349007e-02 1.73397805e-03 3.79000232e-02
410 9.42429751e-02 1.76348886e-03 3.72219905e-02
411 9.46011841e-02 1.74038787e-03 3.75203639e-02
412 9.42816287e-02 1.66759221e-03 3.74647602e-02
413 9.38245803e-02 1.62643229e-03 3.67082693e-02
414 9.40964967e-02 1.61213404e-03 3.69541720e-02
415 9.26423818e-02 1.62938377e-03 3.67596373e-02
416 9.37337428e-02 1.75782805e-03 3.72088440e-02
417 9.31899771e-02 1.70756259e-03 3.65904011e-02
418 9.40337107e-02 1.77107810e-03 3.69475149e-02
419 9.43727493e-02 1.72636053e-03 3.76743376e-02
420 9.13817361e-02 1.59291690e-03 3.76149304e-02
421 9.37961936e-02 1.60706835e-03 3.70322168e-02
422 9.28417444e-02 1.69450196e-03 3.66376154e-02
423 9.28938612e-02 1.74695649e-03 3.75336967e-02
424 9.33289230e-02 1.68920262e-03 3.77578475e-02
425 9.23600718e-02 1.68701576e-03 3.77135128e-02
426 9.28028077e-02 1.73150271e-03 3.79871167e-02
427 9.37160775e-02 1.53772999e-03 3.67486663e-02
428 9.17026028e-02 1.52011274e-03 3.81365083e-02
429 9.11350995e-02 1.75937649e-03 3.73921432e-02
430 9.18478221e-02 1.59875699e-03 3.79629806e-02
431 9.18560475e-02 1.61676365e-03 3.79592814e-02
432 9.29682329e-02 1.80773030e-03 3.80739048e-02
433 9.10264030e-02 1.60248124e-03 3.76332253e-02
434 9.27953124e-02 1.60832703e-03 3.80913094e-02
435 9.28391367e-02 1.56390993e-03 3.80092710e-02
436 9.21772495e-02 1.65861042e-03 3.69967669e-02
437 9.24384519e-02 1.62237650e-03 3.73103060e-02
438 9.19313878e-02 1.60326355e-03 3.74136716e-02
439 9.15163979e-02 1.56610948e-03 3.74902561e-02
440 9.16399211e-02 1.54427486e-03 3.78520228e-02
441 9.12154838e-02 1.52943679e-03 3.75993289e-02
442 9.32617635e-02 1.61732628e-03 3.85476723e-02
443 9.22021121e-02 1.61877391e-03 3.81361879e-02
444 9.07388702e-02 1.65409467e-03 3.78723256e-02
445 9.05371383e-02 1.77654694e-03 3.84014696e-02
