# step L_total L_int L_bdry L_orth
285 1.59874007e-01 1.30879819e-01 4.02222294e-03 2.49719620e-02
286 1.58455312e-01 1.29015088e-01 4.75431606e-03 2.46859007e-02
287 1.58772737e-01 1.29538342e-01 4.44494328e-03 2.47894526e-02
288 1.59082487e-01 1.30680591e-01 4.06267494e-03 2.43392196e-02
289 1.57613024e-01 1.27844706e-01 4.78857290e-03 2.49797404e-02
290 1.56882092e-01 1.28182724e-01 4.18957183e-03 2.45098062e-02
291 1.57306179e-01 1.28351256e-01 4.27945424e-03 2.46754698e-02
292 1.58239007e-01 1.28288224e-01 4.43658745e-03 2.55142003e-02
293 1.57054663e-01 1.27011538e-01 4.73768357e-03 2.53054388e-02
294 1.57536864e-01 1.27390549e-01 4.70308727e-03 2.54432224e-02
295 1.56477675e-01 1.26761705e-01 4.27243346e-03 2.54435390e-02
296 1.56111449e-01 1.26120806e-01 4.07808274e-03 2.59125512e-02
297 1.55304119e-01 1.24584749e-01 3.85819422e-03 2.68611815e-02
298 1.56235978e-01 1.26102954e-01 3.97366844e-03 2.61593573e-02
299 1.51671678e-01 1.21533900e-01 3.98994982e-03 2.61478350e-02
300 1.58005446e-01 1.27308369e-01 4.26586717e-03 2.64312085e-02
301 1.53280497e-01 1.22448295e-01 4.40369919e-03 2.64284983e-02
302 1.55608252e-01 1.24351814e-01 4.27117990e-03 2.69852523e-02
303 1.55809492e-01 1.25033915e-01 4.13130503e-03 2.66442746e-02
304 1.54868573e-01 1.23628415e-01 3.97099834e-03 2.72691566e-02
305 1.56554490e-01 1.25748977e-01 4.40285727e-03 2.64026448e-02
306 1.53296798e-01 1.23263024e-01 3.82323260e-03 2.62105465e-02
307 1.53604671e-01 1.23620339e-01 3.60650010e-03 2.63778269e-02
308 1.54811293e-01 1.23586789e-01 4.12099995e-03 2.71034986e-02
309 1.51645243e-01 1.19614519e-01 3.96508630e-03 2.80656293e-02
310 1.53345257e-01 1.22050241e-01 4.22342075e-03 2.70715989e-02
311 1.52286693e-01 1.20098963e-01 4.36527235e-03 2.78224573e-02
312 1.52346417e-01 1.20988004e-01 4.01133718e-03 2.73470748e-02
313 1.51365101e-01 1.19221196e-01 4.18623118e-03 2.79576797e-02
314 1.53109148e-01 1.20505802e-01 4.51280689e-03 2.80905329e-02
315 1.53728485e-01 1.21860355e-01 4.57163760e-03 2.72965021e-02
316 1.50056615e-01 1.17708787e-01 4.22680750e-03 2.81210281e-02
317 1.51263088e-01 1.19639412e-01 4.03357390e-03 2.75901090e-02
318 1.50385410e-01 1.18346795e-01 4.25768550e-03 2.77809240e-02
319 1.49772421e-01 1.17112979e-01 4.04961361e-03 2.86098216e-02
320 1.50233418e-01 1.18974760e-01 3.46509111e-03 2.77935583e-02
321 1.51024610e-01 1.19356491e-01 3.83302034e-03 2.78351009e-02
322 1.51663497e-01 1.19848229e-01 3.98746645e-03 2.78277993e-02
323 1.50976703e-01 1.19400069e-01 3.79246566e-03 2.77841669e-02
324 1.48902893e-01 1.17067963e-01 3.59435240e-03 2.82405782e-02
325 1.49582148e-01 1.17506191e-01 4.00874903e-03 2.80672107e-02
326 1.46888435e-01 1.14890531e-01 3.60720279e-03 2.83907000e-02
327 1.49710625e-01 1.17480733e-01 3.67425475e-03 2.85556465e-02
328 1.49287194e-01 1.17275082e-01 3.85496253e-03 2.81571541e-02
329 1.49829566e-01 1.17406204e-01 3.80363548e-03 2.86197327e-02
330 1.50651842e-01 1.18551962e-01 3.45980423e-03 2.86400691e-02
331 1.48825705e-01 1.16162151e-01 3.61532951e-03 2.90482342e-02
332 1.48370698e-01 1.15974024e-01 3.49781802e-03 2.88988594e-02
333 1.49130955e-01 1.16829157e-01 3.83231533e-03 2.84694768e-02
334 1.48841560e-01 1.16640151e-01 3.65788396e-03 2.85435319e-02
335 1.50286719e-01 1.18057609e-01 3.52848414e-03 2.87006237e-02
336 1.48503721e-01 1.15684658e-01 3.64892161e-03 2.91701481e-02
337 1.46747604e-01 1.13365233e-01 3.88308242e-03 2.94992868e-02
338 1.47780016e-01 1.14419580e-01 4.09506075e-03 2.92653758e-02
339 1.46945566e-01 1.14064880e-01 3.81304417e-03 2.90676411e-02
340 1.45877793e-01 1.12475023e-01 3.45025840e-03 2.99525112e-02
341 1.47189021e-01 1.14393145e-01 3.69383115e-03 2.91020479e-02
342 1.46666557e-01 1.13633260e-01 3.67827085e-03 2.93550212e-02
343 1.45321548e-01 1.12501584e-01 3.51932179e-03 2.93006375e-02
344 1.47620812e-01 1.13729894e-01 3.52355698e-03 3.03673595e-02
345 1.46234110e-01 1.13035917e-01 3.46029666e-03 2.97379009e-02
346 1.47038952e-01 1.13562770e-01 3.00318748e-03 3.04729994e-02
347 1.45172030e-01 1.12007543e-01 3.12503520e-03 3.00394483e-02
348 1.46686345e-01 1.13047250e-01 3.24343075e-03 3.03956717e-02
349 1.46086916e-01 1.12285659e-01 3.53537966e-03 3.02658807e-02
350 1.45882234e-01 1.12085938e-01 3.60283861e-03 3.01934611e-02
351 1.45540252e-01 1.11053929e-01 3.30158137e-03 3.11847348e-02
352 1.43339366e-01 1.09813839e-01 3.16833472e-03 3.03571969e-02
353 1.45454794e-01 1.11608997e-01 3.31971515e-03 3.05260867e-02
354 1.46602303e-01 1.11963466e-01 3.41898436e-03 3.12198512e-02
355 1.44403160e-01 1.10063396e-01 3.36570339e-03 3.09740677e-02
356 1.44531384e-01 1.10083371e-01 3.22535029e-03 3.12226620e-02
357 1.44289806e-01 1.09748654e-01 3.22308508e-03 3.13180722e-02
358 1.44881994e-01 1.09350286e-01 3.64323519e-03 3.18884626e-02
359 1.43029749e-01 1.09308518e-01 3.10957502e-03 3.06116566e-02
360 1.44047022e-01 1.10046349e-01 3.50644439e-03 3.04942206e-02
361 1.43928289e-01 1.08720616e-01 3.41566885e-03 3.17920148e-02
362 1.43390998e-01 1.09094784e-01 3.39068426e-03 3.09055299e-02
363 1.44000620e-01 1.08242400e-01 3.53522925e-03 3.22229862e-02
364 1.42047599e-01 1.06688410e-01 3.38543602e-03 3.19737457e-02
365 1.44713342e-01 1.08484112e-01 3.74503480e-03 3.24841961e-02
366 1.44823849e-01 1.09203331e-01 3.39976232e-03 3.22207510e-02
